customer_id,customer_name,city,state,signup_date
CUST0001,Ximena Nascimento,Porto Alegre,RS,2022-05-17
CUST0002,Ximena Souza,Goiania,GO,2021-06-28
CUST0003,Bruno Silva,Mossoro,RN,2021-07-11
CUST0004,Queila Cardoso,Salvador,BA,2021-02-24
CUST0005,Wesley Alves,Joao Pessoa,PB,2023-05-10
CUST0006,Sofia Nascimento,Aparecida de Goiania,GO,2021-01-14
CUST0007,Nelson Araujo,Blumenau,SC,2022-07-24
CUST0008,Yara Araujo,Curitiba,PR,2021-07-29
CUST0009,Diego Fernandes,Uberlandia,MG,2022-12-06
CUST0010,Zeca Santos,Arapiraca,AL,2023-07-30
CUST0011,Felipe Carvalho,Joao Pessoa,PB,2021-06-11
CUST0012,Camila Cardoso,Campina Grande,PB,2023-01-11
CUST0013,Wesley Oliveira,Natal,RN,2021-04-04
CUST0014,Carla Almeida,Aparecida de Goiania,GO,2021-07-26
CUST0015,Olivia Fernandes,Ananindeua,PA,2021-11-30
CUST0016,Gabriela Nascimento,Vila Velha,ES,2021-05-27
CUST0017,Rafael Almeida,Maceio,AL,2021-12-01
CUST0018,Isabela Alves,Dourados,MS,2022-03-26
CUST0019,Hugo Santos,Brasilia,DF,2022-10-09
CUST0020,Carla Rodrigues,Ananindeua,PA,2022-10-07
CUST0021,Paulo Carvalho,Vitoria da Conquista,BA,2023-07-29
CUST0022,Elisa Almeida,Londrina,PR,2022-06-23
CUST0023,Eduarda Monteiro,Mossoro,RN,2023-03-29
CUST0024,Elisa Ribeiro,Vitoria,ES,2023-10-08
CUST0025,Daniel Souza,Belo Horizonte,MG,2021-11-10
CUST0026,Nelson Cardoso,Blumenau,SC,2021-05-11
CUST0027,Thiago Martins,Ananindeua,PA,2023-12-20
CUST0028,Vinicius Souza,Recife,PE,2022-07-01
CUST0029,Joao Gomes,Brasilia,DF,2021-11-20
CUST0030,Ximena Nascimento,Campo Grande,MS,2023-10-23
CUST0031,Felipe Souza,Blumenau,SC,2022-09-04
CUST0032,Elisa Fernandes,Sao Luis,MA,2021-11-27
CUST0033,Thiago Araujo,Joao Pessoa,PB,2023-09-28
CUST0034,Felipe Fernandes,Sao Paulo,SP,2022-09-22
CUST0035,Hugo Monteiro,Goiania,GO,2021-06-11
CUST0036,Paulo Oliveira,Contagem,MG,2023-12-27
CUST0037,Vinicius Rocha,Curitiba,PR,2021-12-05
CUST0038,Gabriela Alves,Jaboatao dos Guararapes,PE,2022-02-16
CUST0039,Vinicius Fernandes,Caucaia,CE,2023-06-17
CUST0040,Diego Almeida,Imperatriz,MA,2022-04-06
CUST0041,Ana Monteiro,Uberlandia,MG,2022-04-17
CUST0042,Ana Oliveira,Natal,RN,2021-05-01
CUST0043,Eduarda Santos,Goiania,GO,2022-11-08
CUST0044,Hugo Nascimento,Contagem,MG,2023-09-22
CUST0045,Elisa Monteiro,Vitoria da Conquista,BA,2023-08-27
CUST0046,Zeca Gomes,Aparecida de Goiania,GO,2022-01-25
CUST0047,Vinicius Gomes,Porto Alegre,RS,2022-12-27
CUST0048,Olivia Santos,Varzea Grande,MT,2021-07-21
CUST0049,Ximena Araujo,Niteroi,RJ,2021-08-12
CUST0050,Gabriela Alves,Goiania,GO,2023-07-08
